0000    19-04-2017 06:42:36    Clear Log             
0001    19-04-2017 06:42:44    Log Out               admin<Web:0.0.0.0>
0002    19-04-2017 06:48:25    Alarm Start           Motion Detect, Channel 3
0003    19-04-2017 06:48:25    Alarm Stop            Motion Detect, Channel 3
0004    19-04-2017 06:48:26    Alarm Start           Motion Detect, Channel 3
0005    19-04-2017 06:48:26    Alarm Stop            Motion Detect, Channel 3
0006    19-04-2017 06:48:38    Alarm Start           Motion Detect, Channel 3
0007    19-04-2017 06:48:39    Alarm Stop            Motion Detect, Channel 3
0008    19-04-2017 06:55:49    Alarm Start           Motion Detect, Channel 3
0009    19-04-2017 06:55:54    Alarm Stop            Motion Detect, Channel 3
0010    19-04-2017 07:06:52    Alarm Start           Motion Detect, Channel 2
0011    19-04-2017 07:06:53    Alarm Start           Motion Detect, Channel 3
0012    19-04-2017 07:06:54    Alarm Start           Motion Detect, Channel 1
0013    19-04-2017 07:06:54    Alarm Stop            Motion Detect, Channel 1
0014    19-04-2017 07:06:54    Alarm Stop            Motion Detect, Channel 2
0015    19-04-2017 07:06:55    Alarm Stop            Motion Detect, Channel 3
0016    19-04-2017 07:25:52    Alarm Start           Motion Detect, Channel 3
0017    19-04-2017 07:25:57    Alarm Stop            Motion Detect, Channel 3
0018    19-04-2017 07:25:59    Alarm Start           Motion Detect, Channel 1
0019    19-04-2017 07:25:59    Alarm Stop            Motion Detect, Channel 1
0020    19-04-2017 07:26:42    Alarm Start           Motion Detect, Channel 3
0021    19-04-2017 07:26:45    Alarm Stop            Motion Detect, Channel 3
0022    19-04-2017 07:26:45    Alarm Start           Motion Detect, Channel 1
0023    19-04-2017 07:26:45    Alarm Start           Motion Detect, Channel 3
0024    19-04-2017 07:26:46    Alarm Stop            Motion Detect, Channel 1
0025    19-04-2017 07:26:47    Alarm Stop            Motion Detect, Channel 3
0026    19-04-2017 07:26:56    Alarm Start           Motion Detect, Channel 3
0027    19-04-2017 07:26:59    Alarm Stop            Motion Detect, Channel 3
0028    19-04-2017 07:27:43    Alarm Start           Motion Detect, Channel 3
0029    19-04-2017 07:27:44    Alarm Start           Motion Detect, Channel 1
0030    19-04-2017 07:27:44    Alarm Stop            Motion Detect, Channel 1
0031    19-04-2017 07:27:47    Alarm Start           Motion Detect, Channel 2
0032    19-04-2017 07:27:47    Alarm Stop            Motion Detect, Channel 2
0033    19-04-2017 07:27:47    Alarm Stop            Motion Detect, Channel 3
0034    19-04-2017 07:27:48    Alarm Start           Motion Detect, Channel 2
0035    19-04-2017 07:27:48    Alarm Stop            Motion Detect, Channel 2
0036    19-04-2017 07:27:49    Alarm Start           Motion Detect, Channel 2
0037    19-04-2017 07:27:50    Alarm Stop            Motion Detect, Channel 2
0038    19-04-2017 07:27:51    Alarm Start           Motion Detect, Channel 3
0039    19-04-2017 07:27:53    Alarm Stop            Motion Detect, Channel 3
0040    19-04-2017 07:28:03    Alarm Start           Motion Detect, Channel 3
0041    19-04-2017 07:28:04    Alarm Stop            Motion Detect, Channel 3
0042    19-04-2017 07:28:05    Alarm Start           Motion Detect, Channel 3
0043    19-04-2017 07:28:05    Alarm Start           Motion Detect, Channel 1
0044    19-04-2017 07:28:05    Alarm Stop            Motion Detect, Channel 3
0045    19-04-2017 07:28:06    Alarm Stop            Motion Detect, Channel 1
0046    19-04-2017 07:28:07    Alarm Start           Motion Detect, Channel 3
0047    19-04-2017 07:28:07    Alarm Stop            Motion Detect, Channel 3
0048    19-04-2017 07:28:15    Alarm Start           Motion Detect, Channel 1
0049    19-04-2017 07:28:16    Alarm Stop            Motion Detect, Channel 1
0050    19-04-2017 07:28:45    Alarm Start           Motion Detect, Channel 1
0051    19-04-2017 07:28:47    Alarm Start           Motion Detect, Channel 3
0052    19-04-2017 07:28:56    Alarm Stop            Motion Detect, Channel 1
0053    19-04-2017 07:28:59    Alarm Stop            Motion Detect, Channel 3
0054    19-04-2017 07:29:01    Alarm Start           Motion Detect, Channel 3
0055    19-04-2017 07:29:02    Alarm Start           Motion Detect, Channel 1
0056    19-04-2017 07:29:02    Alarm Start           Motion Detect, Channel 2
0057    19-04-2017 07:29:02    Alarm Stop            Motion Detect, Channel 2
0058    19-04-2017 07:29:04    Alarm Stop            Motion Detect, Channel 1
0059    19-04-2017 07:29:06    Alarm Stop            Motion Detect, Channel 3
0060    19-04-2017 07:32:20    Alarm Start           Motion Detect, Channel 2
0061    19-04-2017 07:32:21    Alarm Stop            Motion Detect, Channel 2
0062    19-04-2017 07:32:22    Alarm Start           Motion Detect, Channel 2
0063    19-04-2017 07:32:22    Alarm Stop            Motion Detect, Channel 2
0064    19-04-2017 07:32:23    Alarm Start           Motion Detect, Channel 3
0065    19-04-2017 07:32:23    Alarm Start           Motion Detect, Channel 2
0066    19-04-2017 07:32:24    Alarm Stop            Motion Detect, Channel 2
0067    19-04-2017 07:32:25    Alarm Start           Motion Detect, Channel 1
0068    19-04-2017 07:32:25    Alarm Stop            Motion Detect, Channel 3
0069    19-04-2017 07:32:25    Alarm Start           Motion Detect, Channel 3
0070    19-04-2017 07:32:26    Alarm Stop            Motion Detect, Channel 3
0071    19-04-2017 07:32:26    Alarm Stop            Motion Detect, Channel 1
0072    19-04-2017 07:32:30    Log In                admin<Web:0.0.0.0>
0073    19-04-2017 07:32:30    Set Time              2017-04-19 07:32:31
0074    19-04-2017 07:32:38    Log In                admin<Web:0.0.0.0>
0075    19-04-2017 07:32:39    Log Out               admin<Web:0.0.0.0>
0076    19-04-2017 07:35:55    Alarm Start           Motion Detect, Channel 3
0077    19-04-2017 07:35:56    Alarm Start           Motion Detect, Channel 1
0078    19-04-2017 07:35:57    Alarm Start           Motion Detect, Channel 2
0079    19-04-2017 07:35:57    Alarm Stop            Motion Detect, Channel 1
0080    19-04-2017 07:35:59    Alarm Stop            Motion Detect, Channel 3
0081    19-04-2017 07:36:00    Alarm Stop            Motion Detect, Channel 2
0082    19-04-2017 07:37:24    Alarm Start           Motion Detect, Channel 3
0083    19-04-2017 07:37:28    Alarm Stop            Motion Detect, Channel 3
0084    19-04-2017 07:38:37    Alarm Start           Motion Detect, Channel 2
0085    19-04-2017 07:38:38    Alarm Start           Motion Detect, Channel 3
0086    19-04-2017 07:38:39    Alarm Start           Motion Detect, Channel 1
0087    19-04-2017 07:38:40    Alarm Stop            Motion Detect, Channel 2
0088    19-04-2017 07:38:41    Alarm Stop            Motion Detect, Channel 1
0089    19-04-2017 07:38:42    Alarm Stop            Motion Detect, Channel 3
0090    19-04-2017 07:42:31    Alarm Start           Motion Detect, Channel 1
0091    19-04-2017 07:42:31    Alarm Stop            Motion Detect, Channel 1
0092    19-04-2017 07:42:31    Alarm Start           Motion Detect, Channel 3
0093    19-04-2017 07:42:32    Alarm Start           Motion Detect, Channel 1
0094    19-04-2017 07:42:32    Alarm Stop            Motion Detect, Channel 1
0095    19-04-2017 07:42:33    Alarm Start           Motion Detect, Channel 2
0096    19-04-2017 07:42:35    Alarm Stop            Motion Detect, Channel 3
0097    19-04-2017 07:42:35    Alarm Stop            Motion Detect, Channel 2
0098    19-04-2017 07:42:36    Alarm Start           Motion Detect, Channel 2
0099    19-04-2017 07:42:36    Alarm Stop            Motion Detect, Channel 2
0100    19-04-2017 07:54:11    Alarm Start           Motion Detect, Channel 3
0101    19-04-2017 07:54:11    Alarm Stop            Motion Detect, Channel 3
0102    19-04-2017 08:04:11    Alarm Start           Motion Detect, Channel 2
0103    19-04-2017 08:04:11    Alarm Start           Motion Detect, Channel 3
0104    19-04-2017 08:04:13    Alarm Start           Motion Detect, Channel 1
0105    19-04-2017 08:04:13    Alarm Stop            Motion Detect, Channel 2
0106    19-04-2017 08:04:14    Alarm Stop            Motion Detect, Channel 1
0107    19-04-2017 08:04:15    Alarm Stop            Motion Detect, Channel 3
0108    19-04-2017 08:12:03    Alarm Start           Motion Detect, Channel 2
0109    19-04-2017 08:12:03    Alarm Start           Motion Detect, Channel 3
0110    19-04-2017 08:12:04    Alarm Stop            Motion Detect, Channel 2
0111    19-04-2017 08:12:06    Alarm Start           Motion Detect, Channel 1
0112    19-04-2017 08:12:09    Alarm Stop            Motion Detect, Channel 1
0113    19-04-2017 08:12:09    Alarm Stop            Motion Detect, Channel 3
0114    19-04-2017 08:19:40    Alarm Start           Motion Detect, Channel 2
0115    19-04-2017 08:19:41    Alarm Start           Motion Detect, Channel 3
0116    19-04-2017 08:19:42    Alarm Start           Motion Detect, Channel 1
0117    19-04-2017 08:19:43    Alarm Stop            Motion Detect, Channel 2
0118    19-04-2017 08:19:43    Alarm Stop            Motion Detect, Channel 1
0119    19-04-2017 08:19:44    Alarm Stop            Motion Detect, Channel 3
0120    19-04-2017 08:32:54    Log Out               admin<Web:0.0.0.0>
0121    19-04-2017 08:37:49    Log In                admin<Web:0.0.0.0>
0122    19-04-2017 08:37:56    Log In                admin<Web:0.0.0.0>
0123    19-04-2017 08:37:57    Log Out               admin<Web:0.0.0.0>
0124    19-04-2017 08:39:03    Log Out               admin<Web:0.0.0.0>
0125    19-04-2017 08:43:00    Log In                admin<Web:0.0.0.0>
0126    19-04-2017 08:43:09    Log In                admin<Web:0.0.0.0>
0127    19-04-2017 08:43:10    Log Out               admin<Web:0.0.0.0>
0128    19-04-2017 08:43:27    Alarm Start           Motion Detect, Channel 2
0129    19-04-2017 08:43:27    Alarm Start           Motion Detect, Channel 3
0130    19-04-2017 08:43:29    Alarm Start           Motion Detect, Channel 1
0131    19-04-2017 08:43:29    Alarm Stop            Motion Detect, Channel 2
0132    19-04-2017 08:43:30    Alarm Stop            Motion Detect, Channel 1
0133    19-04-2017 08:43:31    Alarm Stop            Motion Detect, Channel 3
