0000    18-04-2017 23:00:26    Clear Log             
0001    18-04-2017 23:00:41    Alarm Start           Motion Detect, Channel 3
0002    18-04-2017 23:00:41    Alarm Stop            Motion Detect, Channel 3
0003    18-04-2017 23:01:56    Log Out               admin<Web:0.0.0.0>
0004    18-04-2017 23:05:53    Alarm Start           Motion Detect, Channel 4
0005    18-04-2017 23:05:54    Alarm Stop            Motion Detect, Channel 4
0006    18-04-2017 23:08:21    Alarm Start           Motion Detect, Channel 3
0007    18-04-2017 23:08:21    Alarm Stop            Motion Detect, Channel 3
0008    18-04-2017 23:08:22    Alarm Start           Motion Detect, Channel 3
0009    18-04-2017 23:08:23    Alarm Stop            Motion Detect, Channel 3
0010    18-04-2017 23:12:49    Alarm Start           Motion Detect, Channel 4
0011    18-04-2017 23:12:49    Alarm Stop            Motion Detect, Channel 4
0012    18-04-2017 23:18:52    Log In                admin<Web:0.0.0.0>
0013    18-04-2017 23:18:52    Set Time              2017-04-18 23:18:53
0014    18-04-2017 23:18:59    Log In                admin<Web:0.0.0.0>
0015    18-04-2017 23:19:00    Log Out               admin<Web:0.0.0.0>
0016    18-04-2017 23:20:20    Alarm Start           Motion Detect, Channel 1
0017    18-04-2017 23:20:21    Alarm Stop            Motion Detect, Channel 1
0018    18-04-2017 23:21:49    Log Out               admin<Web:0.0.0.0>
0019    18-04-2017 23:21:59    Log In                admin<Web:0.0.0.0>
0020    18-04-2017 23:22:06    Log In                admin<Web:0.0.0.0>
0021    18-04-2017 23:22:07    Log Out               admin<Web:0.0.0.0>
0022    18-04-2017 23:25:02    Alarm Start           Motion Detect, Channel 2
0023    18-04-2017 23:25:02    Alarm Stop            Motion Detect, Channel 2
0024    18-04-2017 23:27:40    Log Out               admin<Web:0.0.0.0>
0025    18-04-2017 23:34:20    Alarm Start           Motion Detect, Channel 4
0026    18-04-2017 23:34:21    Alarm Stop            Motion Detect, Channel 4
0027    18-04-2017 23:45:58    Alarm Start           Motion Detect, Channel 3
0028    18-04-2017 23:45:59    Alarm Stop            Motion Detect, Channel 3
0029    19-04-2017 00:01:11    Alarm Start           Motion Detect, Channel 3
0030    19-04-2017 00:01:12    Alarm Stop            Motion Detect, Channel 3
0031    19-04-2017 00:02:31    Alarm Start           Motion Detect, Channel 3
0032    19-04-2017 00:02:32    Alarm Stop            Motion Detect, Channel 3
