0090    17-04-2017 21:12:18    Alarm Stop            Motion Detect, Channel 4
0091    17-04-2017 21:12:36    Export log            6D6C5B5CD776FEA0694B986F4FC514F5(English)
0092    17-04-2017 21:12:40    Log In                admin<Web:0.0.0.0>
0093    17-04-2017 21:12:41    Log Out               admin<Web:0.0.0.0>
0094    17-04-2017 21:12:43    Alarm Start           Motion Detect, Channel 4
0095    17-04-2017 21:12:43    Alarm Stop            Motion Detect, Channel 4
0096    17-04-2017 21:13:28    Log In                admin<Web:0.0.0.0>
0097    17-04-2017 21:13:29    Log Out               admin<Web:0.0.0.0>
0098    17-04-2017 21:14:03    Log In                admin<Web:0.0.0.0>
0099    17-04-2017 21:14:04    Log Out               admin<Web:0.0.0.0>
0100    17-04-2017 21:14:13    Alarm Start           Motion Detect, Channel 4
0101    17-04-2017 21:14:14    Alarm Stop            Motion Detect, Channel 4
0102    17-04-2017 21:14:24    Alarm Start           Motion Detect, Channel 4
0103    17-04-2017 21:14:24    Alarm Stop            Motion Detect, Channel 4
0104    17-04-2017 21:14:25    Alarm Start           Motion Detect, Channel 2
0105    17-04-2017 21:14:25    Log In                admin<Web:0.0.0.0>
0106    17-04-2017 21:14:25    Alarm Start           Motion Detect, Channel 3
0107    17-04-2017 21:14:26    Alarm Stop            Motion Detect, Channel 3
0108    17-04-2017 21:14:26    Log Out               admin<Web:0.0.0.0>
0109    17-04-2017 21:14:29    Alarm Stop            Motion Detect, Channel 2
0110    17-04-2017 21:14:38    Alarm Start           Motion Detect, Channel 4
0111    17-04-2017 21:14:38    Alarm Stop            Motion Detect, Channel 4
0112    17-04-2017 21:15:07    Alarm Start           Motion Detect, Channel 4
0113    17-04-2017 21:15:08    Alarm Stop            Motion Detect, Channel 4
0114    17-04-2017 21:15:11    Alarm Start           Motion Detect, Channel 4
0115    17-04-2017 21:15:12    Alarm Stop            Motion Detect, Channel 4
0116    17-04-2017 21:15:21    Log In                admin<Web:0.0.0.0>
0117    17-04-2017 21:15:22    Log Out               admin<Web:0.0.0.0>
0118    17-04-2017 21:16:30    Alarm Start           Motion Detect, Channel 4
0119    17-04-2017 21:16:30    Alarm Stop            Motion Detect, Channel 4
0120    17-04-2017 21:16:34    Alarm Start           Motion Detect, Channel 4
0121    17-04-2017 21:16:35    Alarm Stop            Motion Detect, Channel 4
0122    17-04-2017 21:16:48    Alarm Start           Motion Detect, Channel 4
0123    17-04-2017 21:16:49    Alarm Stop            Motion Detect, Channel 4
0124    17-04-2017 21:17:08    Alarm Start           Motion Detect, Channel 4
0125    17-04-2017 21:17:08    Alarm Stop            Motion Detect, Channel 4
0126    17-04-2017 21:17:25    Alarm Start           Motion Detect, Channel 4
0127    17-04-2017 21:17:26    Alarm Stop            Motion Detect, Channel 4
0128    17-04-2017 21:17:33    Alarm Start           Motion Detect, Channel 4
0129    17-04-2017 21:17:33    Alarm Stop            Motion Detect, Channel 4
0130    17-04-2017 21:17:47    Alarm Start           Motion Detect, Channel 4
0131    17-04-2017 21:17:47    Alarm Stop            Motion Detect, Channel 4
0132    17-04-2017 21:19:10    Alarm Start           Motion Detect, Channel 4
0133    17-04-2017 21:19:10    Alarm Stop            Motion Detect, Channel 4
0134    17-04-2017 21:19:14    Alarm Start           Motion Detect, Channel 4
0135    17-04-2017 21:19:15    Alarm Stop            Motion Detect, Channel 4
0136    17-04-2017 21:20:27    Alarm Start           Motion Detect, Channel 4
0137    17-04-2017 21:20:28    Alarm Stop            Motion Detect, Channel 4
0138    17-04-2017 21:21:16    Log In                admin<Web:0.0.0.0>
0139    17-04-2017 21:21:17    Log Out               admin<Web:0.0.0.0>
0140    17-04-2017 21:21:33    Alarm Start           Motion Detect, Channel 3
0141    17-04-2017 21:21:34    Alarm Stop            Motion Detect, Channel 3
0142    17-04-2017 21:21:35    Log In                admin<Web:0.0.0.0>
0143    17-04-2017 21:21:36    Alarm Start           Motion Detect, Channel 2
0144    17-04-2017 21:21:37    Log Out               admin<Web:0.0.0.0>
0145    17-04-2017 21:21:37    Alarm Start           Motion Detect, Channel 3
0146    17-04-2017 21:21:38    Alarm Stop            Motion Detect, Channel 3
0147    17-04-2017 21:21:41    Alarm Stop            Motion Detect, Channel 2
0148    17-04-2017 21:21:51    Log In                admin<Web:0.0.0.0>
0149    17-04-2017 21:21:52    Log Out               admin<Web:0.0.0.0>
0150    17-04-2017 21:22:06    Log In                admin<Web:0.0.0.0>
0151    17-04-2017 21:22:07    Log Out               admin<Web:0.0.0.0>
0152    17-04-2017 21:22:16    Alarm Start           Motion Detect, Channel 3
0153    17-04-2017 21:22:17    Alarm Stop            Motion Detect, Channel 3
0154    17-04-2017 21:22:18    Alarm Start           Motion Detect, Channel 2
0155    17-04-2017 21:22:18    Alarm Start           Motion Detect, Channel 3
0156    17-04-2017 21:22:19    Alarm Stop            Motion Detect, Channel 3
0157    17-04-2017 21:22:20    Alarm Stop            Motion Detect, Channel 2
0158    17-04-2017 21:22:21    Log In                admin<Web:0.0.0.0>
0159    17-04-2017 21:22:22    Log Out               admin<Web:0.0.0.0>
0160    17-04-2017 21:22:56    Log In                admin<Web:0.0.0.0>
0161    17-04-2017 21:22:57    Log Out               admin<Web:0.0.0.0>
0162    17-04-2017 21:26:22    Alarm Start           Motion Detect, Channel 4
0163    17-04-2017 21:26:23    Alarm Stop            Motion Detect, Channel 4
0164    17-04-2017 21:26:33    Alarm Start           Motion Detect, Channel 3
0165    17-04-2017 21:26:34    Alarm Stop            Motion Detect, Channel 3
0166    17-04-2017 21:26:41    Log In                admin<Web:0.0.0.0>
0167    17-04-2017 21:26:42    Log Out               admin<Web:0.0.0.0>
0168    17-04-2017 21:27:25    Log In                admin<Web:0.0.0.0>
0169    17-04-2017 21:27:26    Log Out               admin<Web:0.0.0.0>
0170    17-04-2017 21:27:46    Alarm Start           Motion Detect, Channel 4
0171    17-04-2017 21:27:47    Alarm Stop            Motion Detect, Channel 4
0172    17-04-2017 21:28:15    Alarm Start           Motion Detect, Channel 4
0173    17-04-2017 21:28:16    Alarm Stop            Motion Detect, Channel 4
0174    17-04-2017 21:28:18    Alarm Start           Motion Detect, Channel 4
0175    17-04-2017 21:28:18    Alarm Stop            Motion Detect, Channel 4
0176    17-04-2017 21:28:20    Alarm Start           Motion Detect, Channel 4
0177    17-04-2017 21:28:21    Alarm Stop            Motion Detect, Channel 4
0178    17-04-2017 21:28:23    Alarm Start           Motion Detect, Channel 4
0179    17-04-2017 21:28:23    Alarm Stop            Motion Detect, Channel 4
0180    17-04-2017 21:28:26    Alarm Start           Motion Detect, Channel 4
0181    17-04-2017 21:28:27    Alarm Stop            Motion Detect, Channel 4
0182    17-04-2017 21:28:30    Alarm Start           Motion Detect, Channel 4
0183    17-04-2017 21:28:30    Alarm Stop            Motion Detect, Channel 4
0184    17-04-2017 21:28:34    Alarm Start           Motion Detect, Channel 4
0185    17-04-2017 21:28:35    Alarm Stop            Motion Detect, Channel 4
0186    17-04-2017 21:28:39    Alarm Start           Motion Detect, Channel 4
0187    17-04-2017 21:28:40    Alarm Stop            Motion Detect, Channel 4
0188    17-04-2017 21:28:41    Alarm Start           Motion Detect, Channel 4
0189    17-04-2017 21:28:43    Alarm Stop            Motion Detect, Channel 4
0190    17-04-2017 21:28:44    Alarm Start           Motion Detect, Channel 4
0191    17-04-2017 21:28:44    Alarm Stop            Motion Detect, Channel 4
0192    17-04-2017 21:28:46    Alarm Start           Motion Detect, Channel 4
0193    17-04-2017 21:28:47    Alarm Stop            Motion Detect, Channel 4
0194    17-04-2017 21:28:59    Alarm Start           Motion Detect, Channel 4
0195    17-04-2017 21:28:59    Alarm Stop            Motion Detect, Channel 4
0196    17-04-2017 21:29:01    Alarm Start           Motion Detect, Channel 4
0197    17-04-2017 21:29:02    Alarm Stop            Motion Detect, Channel 4
0198    17-04-2017 21:29:04    Alarm Start           Motion Detect, Channel 4
